L1,L2,L3,L4,L5,Label,ShortName,Description,TranslateTo,
6,0,0,0,0,comb,Kombinatorika,Izmantot kombinatoriskus spriedumus,Combinatorics,
6,1,0,0,0,comb.full,Pilna pārlase,Veikt pilno pārlasi,ExhaustionMethod,strategy:CaseAnalysis
6,1,1,0,0,comb.full.backtrack,Apakšgadījumu koki,Meklēt ar apakšgadījumu koka apstaigāšanu,TreeTraversalBacktracking,
6,1,2,0,0,comb.full.syntax,Sintakses koki,"Sistemātiski pārbaudīt visus sintakses kokus (piemēram, aritmētisku izteiksmju rēbusos)",AlgorithmsOnSyntaxTrees,
6,2,0,0,0,comb.count,Variantu skaitīšana,"Saskaitīt variantus, izmantojot kombinatorisko analīzi",CountingObjects,
6,2,1,0,0,comb.count.mult,Reizināšanas likums,"Izmantot ""reizināšanas likumu"" novērtējot kombināciju skaitu",RuleOfProduct,
6,2,1,1,0,comb.count.mult.rep,Atkārtojumi,"Izmantot reizināšanas likumu,  ja iespējami atkārtojumi",RuleOfProductWithRepetitions,
6,2,1,2,0,comb.count.mult.norep,Bez atkārtojumiem,Izmantot reizināšanas likumu bez atkārtojumiem,RuleOfProduct,
6,2,2,0,0,comb.count.complement,Papildinājuma skaitīšana,Skaitīt elementus interesējošās kopas papildinājumam/starpībai,CountingSetDifference,
6,2,3,0,0,comb.count.inclexcl,Ieslēgšanas-izslēgšanas princips,"Izmantot ""ieslēgšanas-izslēgšanas"" saskaitīšanu",InclusionExclusionPrinciple,
6,3,0,0,0,comb.graph,Grafi,Izmantot grafu rezultātus,GraphProblems,
